,search_date,title,address,floor_info,price,layout,building_area,building_use
146,2018-05-14,林森路與四維路交叉處之1樓公寓出租,新竹市北區四維路,1F/5F,"8,000元/月",2房2廳1衛1陽臺,10.0,公寓/整層住家
150,2018-05-12,天母陽光山水-首席天下出租(含平面車位),台北市北投區天母西路,7F/11F,"40,000元/月",3房2廳2衛2陽臺,55.0,電梯大樓/整層住家
151,2018-05-10,全新裝潢小毫宅！近捷運麟光站,台北市大安區臥龍街,2F/13F,"26,000元/月",1房1廳1衛1陽臺,13.0,電梯大樓/整層住家
158,2018-05-08,美寓出租便宜又實用,新北市泰山區明志路,5F/7F,"15,000元/月",3房2廳1衛1陽臺,25.0,電梯大樓/整層住家
159,2018-05-12,總太觀闊6樓兩房兩廳平面車位!有三台冷氣,台中市西屯區國安一路,6F/15F,"19,000元/月",2房2廳1衛1陽臺,39.0,電梯大樓/整層住家
163,2018-05-14,25巷xx號1樓,新北市板橋區長安街,1F/5F,"22,000元/月",2房1廳1衛99陽臺,38.18,公寓/住辦
165,2018-05-12,安全寧靜藝文特區大樓近高速公路,桃園市桃園區大興西路二段,8F/20F,"13,900元/月",3房2廳2衛2陽臺,35.4,電梯大樓/整層住家
175,2018-05-12,歐洲學苑精裝潢新家電床含車位，拎包入住,桃園市八德區大和路,11F/15F,"18,000元/月",3房1廳1衛1陽臺,30.0,電梯大樓/整層住家
178,2018-05-14,文慈路~小家庭溫馨裝潢3房1廳,高雄市左營區文慈路,6F/15F,"17,000元/月",3房1廳2衛3陽臺,40.0,電梯大樓/整層住家
183,2018-05-14,套房價格2房使用-二邊大陽臺,台中市東區進化路,4F/5F,"8,000元/月",2房1廳1衛0陽臺,12.0,公寓/整層住家
189,2018-05-09,河堤商圈三房一廳二衛近大樂近自由明誠路,高雄市左營區辛亥路,5F/6F,"18,000元/月",3房1廳2衛2陽臺,27.0,公寓/整層住家
194,2018-05-08,京站旁24坪三房(四床)(5/7日更新),台北市大同區長安西路,4F/5F,"23,000元/月",3房2廳1衛0陽臺,24.0,公寓/整層住家
196,2018-05-09,[出租]水築館電梯大樓環境舒適清幽小住家,新北市永和區環河西路二段,3F/23F,"22,000元/月",2房1廳1衛1陽臺,27.0,電梯大樓/整層住家
197,2018-05-12,上海路溫馨3房附家具家電近學區市場,桃園市平鎮區上海路,3F/13F,"13,500元/月",3房2廳2衛1陽臺,32.0,電梯大樓/整層住家
202,2018-05-14,德賢商圈歐蘭朵整層出租4房,高雄市楠梓區德賢路,15F/21F,"17,000元/月",4房2廳2衛2陽臺,39.0,電梯大樓/整層住家
210,2018-05-14,九揚香提方正三房車,新北市林口區忠孝路,11F/13F,"30,000元/月",3房2廳2衛0陽臺,34.742,電梯大樓/整層住家
213,2018-05-14,雅典宮廷~~sogo商圈三房,桃園市中壢區九和二街,7F/15F,"24,000元/月",3房2廳1衛2陽臺,30.0,電梯大樓/整層住家
216,2018-05-10,迪化街漂亮雅緻幽靜百萬河景正兩房兩廳一衛,台北市大同區迪化街二段,5F/6F,"25,000元/月",2房2廳1衛1陽臺,22.0,公寓/整層住家
219,2018-05-08,超值兩房兩廳，適合小家庭，租到賺到!,桃園市桃園區大華五街,2F/15F,"17,000元/月",2房2廳1衛1陽臺,30.0,電梯大樓/整層住家
228,2018-05-12,惠宇科博館～近BRT草悟道科博館SOGO,台中市西區華美街,11F/14F,"29,000元/月",3房2廳2衛2陽臺,54.28,電梯大樓/整層住家
230,2018-05-14,景安捷運站1~3樓整棟透天厝,新北市中和區中興街,整棟/3F,"20,000元/月",3房2廳2衛2陽臺,33.0,透天厝/整層住家
238,2018-05-14,近龍華科技大學.一樓大庭院整層住家出租,桃園市龜山區萬壽路一段,1F/5F,"16,000元/月",4房2廳2衛2陽臺,50.0,公寓/整層住家
240,2018-05-11,優質知名社區3房車.家具家電齊全,桃園市桃園區莊一街,7F/11F,"20,000元/月",3房2廳2衛1陽臺,25.0,電梯大樓/整層住家
241,2018-05-13,♥家電傢俱齊全♥全包電不包♥電梯大樓,台南市東區東門路二段,9F/12F,"13,200元/月",2房1廳1衛0陽臺,16.3,電梯大樓/整層住家
248,2018-05-11,中壢榮耀歐洲近交流道火車站SOGO商圈,桃園市中壢區溪州街,8F/11F,"18,000元/月",3房1廳2衛1陽臺,26.0,電梯大樓/整層住家
250,2018-05-12,首月5折，整層住家出租，近捷運,新北市蘆洲區中正路,4F/5F,"17,500元/月",2房1廳1衛0陽臺,12.0,公寓/整層住家
257,2018-05-14,三角窗樓上三樓.四樓出租,高雄市鼓山區九如四路,3F/4F,"9,800元/月",3房1廳2衛0陽臺,54.0,透天厝/整層住家
267,2018-05-14,太子天廈兩房車含大露台（可短租）,桃園市中壢區中山東路三段,2F/24F,"16,500元/月",2房2廳1衛1陽臺,40.0,電梯大樓/整層住家
